City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,enewetak,11.3474,162.3373,27.06,80,47,10.49,MH,1682934213
1,kapuskasing,49.4169,-82.4331,6.05,100,100,5.66,CA,1682934061
2,wailua homesteads,22.0669,-159.378,23.44,85,40,5.66,US,1682934214
3,bethel,41.3712,-73.414,11.2,87,40,2.57,US,1682934215
4,adamstown,-25.066,-130.1015,25.08,83,77,5.33,PN,1682934215
5,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,60,75,8.0,RU,1682934216
6,edinburgh of the seven seas,-37.0676,-12.3116,15.69,70,20,4.7,SH,1682934216
7,hailar,49.2,119.7,21.07,18,100,9.97,CN,1682934217
8,bredasdorp,-34.5322,20.0403,19.82,52,50,2.09,ZA,1682933770
9,ndele,8.4109,20.6473,28.7,50,96,1.3,CF,1682934218
10,fortaleza,-3.7227,-38.5247,25.07,94,75,1.54,BR,1682934219
11,gustavsberg,59.3268,18.3898,9.45,63,100,4.91,SE,1682934220
12,keflavik,64.0049,-22.5624,2.95,64,40,6.17,IS,1682934220
13,iqaluit,63.7506,-68.5145,-5.15,93,100,3.09,CA,1682934221
14,albany,42.6001,-73.9662,7.87,89,100,1.79,US,1682934221
15,ust-nera,64.5667,143.2,-4.87,92,73,1.15,RU,1682934222
16,senanga,-16.1167,23.2667,30.34,15,14,4.39,ZM,1682934222
17,ribeira grande,38.5167,-28.7,16.22,82,40,4.92,PT,1682934223
18,grytviken,-54.2811,-36.5092,0.47,84,38,4.78,GS,1682934224
19,nyurba,63.2842,118.3319,0.9,100,100,1.28,RU,1682934225
20,tambo,-14.8,-73.9167,2.45,85,48,0.58,PE,1682934225
21,port lincoln,-34.7333,135.8667,16.33,76,99,3.59,AU,1682934226
22,port-aux-francais,-49.35,70.2167,5.41,93,100,9.49,TF,1682934226
23,stanley,54.868,-1.6985,13.76,74,40,4.63,GB,1682934227
24,avarua,-21.2078,-159.775,24.03,64,40,4.12,CK,1682934228
25,talnakh,69.4865,88.3972,-5.44,83,15,3.2,RU,1682934228
26,anadyr,64.75,177.4833,-13.72,85,0,5.0,RU,1682934229
27,saint-pierre,-21.3393,55.4781,27.82,61,0,3.6,RE,1682934229
28,olonkinbyen,70.9221,-8.7187,-1.45,69,92,8.53,SJ,1682934230
29,ilulissat,69.2167,-51.1,-0.99,47,20,7.2,GL,1682934230
30,isafjordur,66.0755,-23.124,0.02,74,75,6.17,IS,1682934231
31,ilebo,-4.3167,20.5833,30.11,58,75,0.86,CD,1682934232
